ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Improvement Recommendations,7,crm.aiHub.reviews.improveRecs,Improvement Recommendations,Improvement Recommendations,
Inquiries Purchases,7,crm.aiHub.reviews.inquiriesPurchases,Inquiries Purchases,Inquiries Purchases,
Inquiries Purchases Desc,7,crm.aiHub.reviews.inquiriesPurchasesDesc,Inquiries Purchases Desc,Inquiries Purchases Desc,
Interest Conv,7,crm.aiHub.reviews.interestConv,Interest Conv,Interest Conv,
AI Channel Performance Monitoring,7,crm.aiHub.reviews.monitorAi,AI Channel Performance Monitoring,AI Channel Performance Monitoring,
Monthly Report,7,crm.aiHub.reviews.monthlyAi,Monthly Report,Monthly Report,
Monthly Trend,7,crm.aiHub.reviews.monthlyTrend,Monthly Trend,Monthly Trend,
New Signups,7,crm.aiHub.reviews.newMembers,New Signups,New Signups,
Overall Achievement Status,7,crm.aiHub.reviews.overallAchieve,Overall Achievement Status,Overall Achievement Status,
Page Views,7,crm.aiHub.reviews.pageViews,Page Views,Page Views,
Please Select Goal,7,crm.aiHub.reviews.pleaseSelectGoal,Please Select Goal,Please Select Goal,
Post Views,7,crm.aiHub.reviews.postViews,Post Views,Post Views,
Privacy Policy,7,crm.aiHub.reviews.privacyPolicy,Privacy Policy,Privacy Policy,
✅ Purchase Complete,7,crm.aiHub.reviews.purchase,✅ Purchase Complete,✅ Purchase Complete,
Brand Reach,7,crm.aiHub.reviews.roleBrandReach,Brand Reach,Brand Reach,
Capture Purchase Intent,7,crm.aiHub.reviews.roleCaptureIntent,Capture Purchase Intent,Capture Purchase Intent,
Strengthen Customer Relationships,7,crm.aiHub.reviews.roleCustRel,Strengthen Customer Relationships,Strengthen Customer Relationships,
Info · Trust Building,7,crm.aiHub.reviews.roleInfoTrust,Info · Trust Building,Info · Trust Building,
Search Traffic,7,crm.aiHub.reviews.searchTraffic,Search Traffic,Search Traffic,
Selected Goals,7,crm.aiHub.reviews.selectedGoals,Selected Goals,Selected Goals,
Seo Impact,7,crm.aiHub.reviews.seoImpact,Seo Impact,Seo Impact,
Site Traffic,7,crm.aiHub.reviews.siteTraffic,Site Traffic,Site Traffic,
Sns Kpi By Channel,7,crm.aiHub.reviews.snsKpiByChannel,Sns Kpi By Channel,Sns Kpi By Channel,
Sns Kpi Overview,7,crm.aiHub.reviews.snsKpiOverview,Sns Kpi Overview,Sns Kpi Overview,
Tab Community,7,crm.aiHub.reviews.tabCommunity,Tab Community,Tab Community,
Tab Content,7,crm.aiHub.reviews.tabContent,Tab Content,Tab Content,
Tab Goals,7,crm.aiHub.reviews.tabGoals,Tab Goals,Tab Goals,
Tab Monitor,7,crm.aiHub.reviews.tabMonitor,Tab Monitor,Tab Monitor,
Tab Setup,7,crm.aiHub.reviews.tabSetup,Tab Setup,Tab Setup,
Tab Sns,7,crm.aiHub.reviews.tabSns,Tab Sns,Tab Sns,
Tab Targets,7,crm.aiHub.reviews.tabTargets,Tab Targets,Tab Targets,
KPI Target Setting by Channel,7,crm.aiHub.reviews.targetSetup,KPI Target Setting by Channel,KPI Target Setting by Channel,
Target Vs Actuals,7,crm.aiHub.reviews.targetVsActuals,Target Vs Actuals,Target Vs Actuals,
Web Traffic,7,crm.aiHub.reviews.webTraffic,Web Traffic,Web Traffic,
Web Traffic Desc,7,crm.aiHub.reviews.webTrafficDesc,Web Traffic Desc,Web Traffic Desc,
Weekly Ad Efficiency Trend,7,crm.aiHub.reviews.weeklyAdTrend,Weekly Ad Efficiency Trend,Weekly Ad Efficiency Trend,
Weekly Report,7,crm.aiHub.reviews.weeklyAi,Weekly Report,Weekly Report,
TikTok Shop,6,_marketing_1.sc_tiktok_shop,,TikTok Shop,
LTV vs CAC,6,attrData.tabLtvLabel,LTV,LTV,
Auto Execution Log,6,crm.aiHub.execLog,Auto Execution Log,Auto Execution Log,
Unified Dashboard,6,crm.aiHub.omniChannel.ovTitle,Unified Dashboard,Unified Dashboard,
Ab Group A,6,crm.aiHub.reviews.abGroupA,Ab Group A,Ab Group A,
Ab Group B,6,crm.aiHub.reviews.abGroupB,Ab Group B,Ab Group B,
Back To List,6,crm.aiHub.reviews.backToList,Back To List,Back To List,
🎂 Birthday,6,crm.aiHub.reviews.birthday,🎂 Birthday,🎂 Birthday,
🛒 Cart Abandoned,6,crm.aiHub.reviews.cart_abandoned,🛒 Cart Abandoned,🛒 Cart Abandoned,
Click To Edit,6,crm.aiHub.reviews.clickToEdit,Click To Edit,Click To Edit,
Condition Email Clicked,6,crm.aiHub.reviews.conditionEmailClicked,Condition Email Clicked,Condition Email Clicked,
Condition Email Opened,6,crm.aiHub.reviews.conditionEmailOpened,Condition Email Opened,Condition Email Opened,
Condition Field,6,crm.aiHub.reviews.conditionField,Condition Field,Condition Field,
Condition Kakao Clicked,6,crm.aiHub.reviews.conditionKakaoClicked,Condition Kakao Clicked,Condition Kakao Clicked,
Condition Ltv Gt,6,crm.aiHub.reviews.conditionLtvGt,Condition Ltv Gt,Condition Ltv Gt,
Click-through Rate (CTR),6,crm.aiHub.reviews.ctr,Click-through Rate (CTR),Click-through Rate (CTR),
Delay Time,6,crm.aiHub.reviews.delayTime,Delay Time,Delay Time,
Delete Node,6,crm.aiHub.reviews.deleteNode,Delete Node,Delete Node,
Email From,6,crm.aiHub.reviews.emailFrom,Email From,Email From,
Email Send Sim,6,crm.aiHub.reviews.emailSendSim,Email Send Sim,Email Send Sim,
Email Simulate,6,crm.aiHub.reviews.emailSimulate,Email Simulate,Email Simulate,
Email Subject,6,crm.aiHub.reviews.emailSubject,Email Subject,Email Subject,
Email Subject Ph,6,crm.aiHub.reviews.emailSubjectPh,Email Subject Ph,Email Subject Ph,
Email Test Send,6,crm.aiHub.reviews.emailTestSend,Email Test Send,Email Test Send,
Kakao Alimtalk,6,crm.aiHub.reviews.kakaoAlimtalk,Kakao Alimtalk,Kakao Alimtalk,
Kakao Friendtalk,6,crm.aiHub.reviews.kakaoFriendtalk,Kakao Friendtalk,Kakao Friendtalk,
Kakao Msg Type,6,crm.aiHub.reviews.kakaoMsgType,Kakao Msg Type,Kakao Msg Type,
Kakao Send Sim,6,crm.aiHub.reviews.kakaoSendSim,Kakao Send Sim,Kakao Send Sim,
Kakao Template,6,crm.aiHub.reviews.kakaoTemplate,Kakao Template,Kakao Template,
Kakao Test,6,crm.aiHub.reviews.kakaoTest,Kakao Test,Kakao Test,
Line Msg Type,6,crm.aiHub.reviews.lineMsgType,Line Msg Type,Line Msg Type,
Line Send Sim,6,crm.aiHub.reviews.lineSendSim,Line Send Sim,Line Send Sim,
Line Simulate,6,crm.aiHub.reviews.lineSimulate,Line Simulate,Line Simulate,
Line Template,6,crm.aiHub.reviews.lineTemplate,Line Template,Line Template,
Line Test Send,6,crm.aiHub.reviews.lineTestSend,Line Test Send,Line Test Send,
Node Config,6,crm.aiHub.reviews.nodeConfig,Node Config,Node Config,
Node Name,6,crm.aiHub.reviews.nodeName,Node Name,Node Name,
Recent Triggers,6,crm.aiHub.reviews.recentTriggers,Recent Triggers,Recent Triggers,
📌 Segment Entry,6,crm.aiHub.reviews.segment_entered,📌 Segment Entry,📌 Segment Entry,
🌱 New Signup,6,crm.aiHub.reviews.signup,🌱 New Signup,🌱 New Signup,
View by Team,6,crm.aiHub.reviews.team,View by Team,View by Team,
Trigger Type,6,crm.aiHub.reviews.triggerType,Trigger Type,Trigger Type,
UGC Revenue,6,crm.aiHub.reviews.u_86,UGC Revenue,UGC Revenue,
Video Views,6,crm.aiHub.reviews.videoViews,Video Views,Video Views,
Mapping Rule,6,pages.marketingIntel.eventNorm.mappingRule,Mapping Rule,Mapping Rule,
Send domestic SMS/LMS messages and manage send history and statistics.,6,pages.marketingIntel.helpPanel.staticHelp.connectors.summary,Send domestic SMS/LMS messages and manage send history and statistics.,Send domestic SMS/LMS messages and manage send history and statistics.,
Net Profit,5,crm.aiHub.aiHub.netProfit,Net Profit,Net Profit,
Last Sync,5,crm.aiHub.omniChannel.prodColLastSync,Last Sync,Last Sync,
Badge Op Profit,5,crm.aiHub.reviews.badgeOpProfit,Badge Op Profit,Badge Op Profit,
Badge Orders,5,crm.aiHub.reviews.badgeOrders,Badge Orders,Badge Orders,
Banner Desc,5,crm.aiHub.reviews.bannerDesc,Banner Desc,Banner Desc,
Banner Title,5,crm.aiHub.reviews.bannerTitle,Banner Title,Banner Title,
Ch Blog,5,crm.aiHub.reviews.chBlog,Ch Blog,Ch Blog,
Ch Community,5,crm.aiHub.reviews.chCommunity,Ch Community,Ch Community,
Ch Search Ads,5,crm.aiHub.reviews.chSearchAds,Ch Search Ads,Ch Search Ads,
Ch Sns Ads,5,crm.aiHub.reviews.chSnsAds,Ch Sns Ads,Ch Sns Ads,
Final Churn Status,5,crm.aiHub.reviews.churn,Final Churn Status,Final Churn Status,
😴 Churn Risk Customer,5,crm.aiHub.reviews.churned,😴 Churn Risk Customer,😴 Churn Risk Customer,
LINE Clicks,5,crm.aiHub.reviews.conditionLineClicked,LINE Clicks,LINE Clicks,
Consent Date,5,crm.aiHub.reviews.consentDate,Consent Date,Consent Date,
Consent Now,5,crm.aiHub.reviews.consentNow,Consent Now,Consent Now,
Consent Rate,5,crm.aiHub.reviews.consentRate,Consent Rate,Consent Rate,
Cookie Policy,5,crm.aiHub.reviews.cookiePolicy,Cookie Policy,Cookie Policy,
Crm Churn,5,crm.aiHub.reviews.crmChurn,Crm Churn,Crm Churn,
Crm Journey,5,crm.aiHub.reviews.crmJourney,Crm Journey,Crm Journey,
Crm Journey Action,5,crm.aiHub.reviews.crmJourneyAction,Crm Journey Action,Crm Journey Action,
Crm Vip,5,crm.aiHub.reviews.crmVip,Crm Vip,Crm Vip,
Current Consent Status,5,crm.aiHub.reviews.currentConsentStatus,Current Consent Status,Current Consent Status,
Current Month,5,crm.aiHub.reviews.currentMonth,Current Month,Current Month,
Date (Period),5,crm.aiHub.reviews.date,Date (Period),Date (Period),
Edit Settings,5,crm.aiHub.reviews.editSettings,Edit Settings,Edit Settings,
Exp Roas,5,crm.aiHub.reviews.expRoas,Exp Roas,Exp Roas,
Filter High,5,crm.aiHub.reviews.filterHigh,Filter High,Filter High,
Filter Low,5,crm.aiHub.reviews.filterLow,Filter Low,Filter Low,
Filter Med,5,crm.aiHub.reviews.filterMed,Filter Med,Filter Med,
Kakao Guild,5,crm.aiHub.reviews.kakaoGuild,Kakao Guild,Kakao Guild,
Lbl Cpa Full,5,crm.aiHub.reviews.lblCpaFull,Lbl Cpa Full,Lbl Cpa Full,
Lbl Cpc Full,5,crm.aiHub.reviews.lblCpcFull,Lbl Cpc Full,Lbl Cpc Full,
Lbl Ctr Full,5,crm.aiHub.reviews.lblCtrFull,Lbl Ctr Full,Lbl Ctr Full,
Lbl Roas Full,5,crm.aiHub.reviews.lblRoasFull,Lbl Roas Full,Lbl Roas Full,
Live D B,5,crm.aiHub.reviews.liveDB,Live D B,Live D B,
Mkt Budget Action,5,crm.aiHub.reviews.mktBudgetAction,Mkt Budget Action,Mkt Budget Action,
Mkt High Roas,5,crm.aiHub.reviews.mktHighRoas,Mkt High Roas,Mkt High Roas,
Mkt High Roas Sub,5,crm.aiHub.reviews.mktHighRoasSub,Mkt High Roas Sub,Mkt High Roas Sub,
Mkt Hub Action,5,crm.aiHub.reviews.mktHubAction,Mkt Hub Action,Mkt Hub Action,
Mkt Low Roas,5,crm.aiHub.reviews.mktLowRoas,Mkt Low Roas,Mkt Low Roas,
Mkt Optimize Now,5,crm.aiHub.reviews.mktOptimizeNow,Mkt Optimize Now,Mkt Optimize Now,
Mkt Rules Active,5,crm.aiHub.reviews.mktRulesActive,Mkt Rules Active,Mkt Rules Active,
Naver Cafe,5,crm.aiHub.reviews.naverCafe,Naver Cafe,Naver Cafe,
No Consent Info,5,crm.aiHub.reviews.noConsentInfo,No Consent Info,No Consent Info,
Not Consented,5,crm.aiHub.reviews.notConsented,Not Consented,Not Consented,
Orders Ai Run,5,crm.aiHub.reviews.ordersAiRun,Orders Ai Run,Orders Ai Run,
Orders Ai Sub,5,crm.aiHub.reviews.ordersAiSub,Orders Ai Sub,Orders Ai Sub,
Orders Campaign Action,5,crm.aiHub.reviews.ordersCampaignAction,Orders Campaign Action,Orders Campaign Action,
Panel Sub,5,crm.aiHub.reviews.panelSub,Panel Sub,Panel Sub,
Panel Title,5,crm.aiHub.reviews.panelTitle,Panel Title,Panel Title,
Analysis Period,5,crm.aiHub.reviews.period,Analysis Period,Analysis Period,
Platform Stats,5,crm.aiHub.reviews.platformStats,Platform Stats,Platform Stats,
Policy Note1,5,crm.aiHub.reviews.policyNote1,Policy Note1,Policy Note1,
Policy Note2,5,crm.aiHub.reviews.policyNote2,Policy Note2,Policy Note2,
Policy Note3,5,crm.aiHub.reviews.policyNote3,Policy Note3,Policy Note3,
30-day Churn Probability,5,crm.aiHub.reviews.prob30,30-day Churn Probability,30-day Churn Probability,
Save Pref,5,crm.aiHub.reviews.savePref,Save Pref,Save Pref,
Txt_ Actual Paid_9,5,crm.aiHub.reviews.txt_ActualPaid_9,Txt_ Actual Paid_9,Txt_ Actual Paid_9,
Txt_ Ad Creative_13,5,crm.aiHub.reviews.txt_AdCreative_13,Txt_ Ad Creative_13,Txt_ Ad Creative_13,
Txt_ Channelper_15,5,crm.aiHub.reviews.txt_Channelper_15,Txt_ Channelper_15,Txt_ Channelper_15,
Txt_ Creator R O I_11,5,crm.aiHub.reviews.txt_CreatorROI_11,Txt_ Creator R O I_11,Txt_ Creator R O I_11,
Txt_ Difference_10,5,crm.aiHub.reviews.txt_Difference_10,Txt_ Difference_10,Txt_ Difference_10,
Txt_ Engagement_12,5,crm.aiHub.reviews.txt_Engagement_12,Txt_ Engagement_12,Txt_ Engagement_12,
Txt_ Percontrac_8,5,crm.aiHub.reviews.txt_Percontrac_8,Txt_ Percontrac_8,Txt_ Percontrac_8,
Txt_ Product Pag_14,5,crm.aiHub.reviews.txt_ProductPag_14,Txt_ Product Pag_14,Txt_ Product Pag_14,
Txt_ Whitelist A_4,5,crm.aiHub.reviews.txt_WhitelistA_4,Txt_ Whitelist A_4,Txt_ Whitelist A_4,
Sum Total,5,crm.aiHub.reviews.u_114,Sum Total,Sum Total,
Action Recommendations,5,crm.aiHub.reviews.u_81,Action Recommendations,Action Recommendations,
Campaign Manager,5,marketing.gNav.campaignManager,Campaign Manager,Campaign Manager,
Instagram/Facebook DM,5,menu.instagramDm,Instagram/Facebook DM,Instagram / Facebook DM,
Commerce & Settlement,5,pages.marketing.commerce,Commerce & Settlement,Commerce & Settlement,
Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,5,pages.marketingIntel.influencer.attrData.subtitle,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,
❌ Reject,5,pages.marketingIntel.reject,❌ Reject,❌ Reject,
Campaign Status,4,crm.aiHub.aiHub.campaignStatus,Campaign Status,Campaign Status,
Estimated Blended ROAS,4,crm.aiHub.estRoas,Estimated Blended ROAS,Estimated Blended ROAS,
Order No,4,crm.aiHub.omniChannel.ordColOrderNo,Order No,Order No,
Estimated Revenue,4,crm.aiHub.revenue,Estimated Revenue,Estimated Revenue,
Alert Success,4,crm.aiHub.reviews.alertSuccess,Alert Success,Alert Success,
Budget Err,4,crm.aiHub.reviews.budgetErr,Budget Err,Budget Err,
Budget Label,4,crm.aiHub.reviews.budgetLabel,Budget Label,Budget Label,
Cat Beauty,4,crm.aiHub.reviews.catBeauty,Cat Beauty,Cat Beauty,
Cat Fashion,4,crm.aiHub.reviews.catFashion,Cat Fashion,Cat Fashion,
Cat Food,4,crm.aiHub.reviews.catFood,Cat Food,Cat Food,
Cat General,4,crm.aiHub.reviews.catGeneral,Cat General,Cat General,
Cat Software,4,crm.aiHub.reviews.catSoftware,Cat Software,Cat Software,
Cat Tech,4,crm.aiHub.reviews.catTech,Cat Tech,Cat Tech,
Cat Travel,4,crm.aiHub.reviews.catTravel,Cat Travel,Cat Travel,
Corporate Card,4,crm.aiHub.reviews.corporateCard,Corporate Card,Corporate Card,
Est Conv,4,crm.aiHub.reviews.estConv,Est Conv,Est Conv,
Launch Title,4,crm.aiHub.reviews.launchTitle,Launch Title,Launch Title,
Main Title,4,crm.aiHub.reviews.mainTitle,Main Title,Main Title,
Pay Method,4,crm.aiHub.reviews.payMethod,Pay Method,Pay Method,
Q Budget,4,crm.aiHub.reviews.qBudget,Q Budget,Q Budget,
Which Category,4,crm.aiHub.reviews.whichCategory,Which Category,Which Category,
Ad Performance,4,marketing.gNav.adPerformance,Ad Performance,Ad Performance,
Journey Builder,4,marketing.gNav.journeyBuilder,Journey Builder,Journey Builder,
Rollup View,4,marketing.gNav.rollup,Rollup View,Rollup View,
Web Popup,4,marketing.gNav.webPopup,Web Popup,Web Popup,
Bulk Action,4,pages.cmpVal.aiPredict.bulkAction,Bulk Action,Bulk Action,
Platform Fee,4,pages.cmpVal.aiPredict.kpi.p_3,Platform Fee,Platform Fee,
No Results,4,pages.cmpVal.aiPredict.noResults,No Results,No Results,
vs Sessions,4,pages.dashboard.convRateSub,vs Sessions,vs Sessions,
Net Profit / Ad Spend,4,pages.dashboard.netROASSub,Net Profit / Ad Spend,Net Profit / Ad Spend,
As of Today,4,pages.dashboard.totalOrderSub,As of Today,As of Today,
Gross Sales,4,pages.kpiRevenue,Gross Sales,Total Revenue,
Fee Difference,4,pages.krChannel.feeDiff,Fee Difference,Fee Difference,
Select Placeholder,4,pages.krChannel.selectPlaceholder,Select Placeholder,Select Placeholder,
Tab Channels,4,pages.krChannel.tabChannels,Tab Channels,Tab Channels,
Customer · CRM,4,pages.marketing.crm,Customer · CRM,Customer · CRM,
Recent Visits,4,pages.marketing.quickRecents,Recent Visits,Recent Visits,
Select Role,4,pages.marketing.selectRoleBtn,Select Role,Select Role,
System Status,4,pages.marketing.sysStatus,System Status,System Status,
✓ Save Complete,4,pages.marketingIntel.admin.saved,✓ Save Complete,✓ Save Complete,
Impressions,4,pages.marketingIntel.influencer.colViews,Impressions,Impressions,
Last Run,4,pages.menu.writeback.lastRun,Last Run,Last Run,
💰 LTV vs CAC,3,attrData.guideLtvName,,,
Deselect All,3,audit.deselectAll,Deselect All,Deselect All,
{page} / {total},3,audit.pageOf,{page} / {total},{page} / {total},
TOP SKU,3,commerce.topSku,TOP SKU,TOP SKU,
👆 CTA,3,creativeStudio.ctaHint,👆 CTA:,👆 CTA:,
Filter All,3,crm.aiHub.aiHub.filterAll,Filter All,Filter All,
Name Required,3,crm.aiHub.catalogSync.pxl.nameRequired,Name Required,Name Required,
Low Stock,3,crm.aiHub.omniChannel.invLowStock,Low Stock,Low Stock,
Btn Launch,3,crm.aiHub.reviews.btnLaunch,Btn Launch,Btn Launch,
Btn Launching,3,crm.aiHub.reviews.btnLaunching,Btn Launching,Btn Launching,
Btn Retry,3,crm.aiHub.reviews.btnRetry,Btn Retry,Btn Retry,
Btn Review,3,crm.aiHub.reviews.btnReview,Btn Review,Btn Review,
Btn Simulate,3,crm.aiHub.reviews.btnSimulate,Btn Simulate,Btn Simulate,
Budget Sub,3,crm.aiHub.reviews.budgetSub,Budget Sub,Budget Sub,
Campaign Name,3,crm.aiHub.reviews.campName,Campaign Name,Campaign Name,
Detail View,3,crm.aiHub.reviews.detail,Detail View,Detail View,
Launch Sub,3,crm.aiHub.reviews.launchSub,Launch Sub,Launch Sub,
Mix Sub,3,crm.aiHub.reviews.mixSub,Mix Sub,Mix Sub,
AI Media Mix Recommendation,3,crm.aiHub.reviews.mixTitle,AI Media Mix Recommendation,AI Media Mix Recommendation,
Next Purchase,3,crm.aiHub.reviews.nextPurchase,Next Purchase,Next Purchase,
Search product/SKU...,3,crm.aiHub.reviews.searchPlaceholder,Search product/SKU...,Search product/SKU...,
Total Gross,3,crm.aiHub.reviews.totalAmt,Total Gross,Total Gross,
Margin Rate (based on sale price),3,crm.email.catalogSync.marginRate,Margin Rate (based on sale price),Margin Rate (based on sale price),
Registering...,3,crm.email.catalogSync.registering,Registering...,Registering...,
SELECT * FROM ...,3,dbAdmin.queryPlaceholder,SELECT * FROM ...,SELECT * FROM ...,
AI Policy,3,marketing.gNav.aiPolicy,AI Policy,AI Policy,
Budget Tracker,3,marketing.gNav.budgetTracker,Budget Tracker,Budget Tracker,
Channel KPI,3,marketing.gNav.channelKpi,Channel KPI,Channel KPI,
Reconciliation,3,marketing.gNav.reconciliation,Reconciliation,Reconciliation,
Report Builder,3,marketing.gNav.reportBuilder,Report Builder,Report Builder,
":{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",3,nav.pages.writeback.payloadPlaceholder,,,
Real-time · Blended ROAS,3,pages.cmpVal.aiPredict.kpi.k_0,Real-time · Blended ROAS,Real-time · Blended ROAS,
Gross Profit,3,pages.cmpVal.aiPredict.kpi.k_1,Gross Profit,Operating Profit,
Channel Performance,3,pages.commerce.channelPerf,Channel Performance,Channel Performance,
End Date,3,pages.krChannel.endDate,End Date,End Date,
No reconciliation reports,3,pages.krChannel.noReports,No reconciliation reports,No reconciliation reports,
✅ No Tickets (Below threshold),3,pages.krChannel.noTickets,✅ No Tickets (Below threshold),✅ No Tickets (Below threshold),
Platform Fee Rate,3,pages.krChannel.platformFeeRate,Platform Fee Rate,Platform Fee Rate,
Start Date,3,pages.krChannel.startDate,Start Date,Start Date,
🔍 Settlement Reconciliation,3,pages.krChannel.tabRecon,🔍 Settlement Reconciliation,🔍 Settlement Reconciliation,
Ad & Channel Analytics,3,pages.marketing.adAnalytics,Ad & Channel Analytics,Ad & Channel Analytics,
🚀 AI Marketing Automation,3,pages.marketing.aiMarketing,🚀 AI Marketing Automation,🚀 AI Marketing Automation,
AI Strategy Generator,3,pages.marketing.autoMarketing,AI Strategy Generator,AI Strategy Generator,
Channel Intelligence,3,pages.marketing.chIntelTitle,Channel Intelligence,Channel Intelligence,
Customer CRM + AI Segment,3,pages.marketing.crmMain,Customer CRM + AI Segment,Customer CRM + AI Segment,
Email + A/B Test,3,pages.marketing.emailMarketing,Email + A/B Test,Email + A/B Test,
Kakao Channel,3,pages.marketing.kakaoChannel,Kakao Channel,Kakao Channel,
Reviews & UGC Analysis,3,pages.marketing.reviewsUgc,Reviews & UGC Analysis,Reviews & UGC Analysis,
Compare to,3,pages.marketingIntel.compareTo,Compare to,Compare to,
Api Key,3,pages.marketingIntel.connectors.apiKey,Api Key,Api Key,
Configuration,3,pages.marketingIntel.connectors.configure,Configuration,Configuration,
No Connectors,3,pages.marketingIntel.connectors.noConnectors,No Connectors,No Connectors,
Oauth Login,3,pages.marketingIntel.connectors.oauthLogin,Oauth Login,Oauth Login,
Sync Frequency,3,pages.marketingIntel.connectors.syncFrequency,Sync Frequency,Sync Frequency,
Ad Channels,3,pages.marketingIntel.connectors.tabAds,Ad Channels,Ad Channels,
Tab All,3,pages.marketingIntel.connectors.tabAll,Tab All,Tab All,
Sales channel,3,pages.marketingIntel.connectors.tabSales,Sales channel,Sales channel,
Connection Test,3,pages.marketingIntel.connectors.testConnection,Connection Test,Test Connection,
Add Schema,3,pages.marketingIntel.eventNorm.addSchema,Add Schema,Add Schema,
Event Name,3,pages.marketingIntel.eventNorm.eventName,Event Name,Event Name,
No Schemas,3,pages.marketingIntel.eventNorm.noSchemas,No Schemas,No Schemas,
Source Channel,3,pages.marketingIntel.eventNorm.sourceChannel,Source Channel,Source Channel,
Standard Event,3,pages.marketingIntel.eventNorm.standardEvent,Standard Event,Standard Event,
Tab Mapping,3,pages.marketingIntel.eventNorm.tabMapping,Tab Mapping,Tab Mapping,
📋 Schemas,3,pages.marketingIntel.eventNorm.tabSchemas,📋 Schemas,📋 Schemas,
Tab Test,3,pages.marketingIntel.eventNorm.tabTest,Tab Test,Tab Test,
Test Event,3,pages.marketingIntel.eventNorm.testEvent,Test Event,Test Event,
